rank,Company Name
1108,LEAD School
1109,Eveready Industr...
1110,Athena BPO
1111,Temenos
1112,The Lalit
1113,J B Chemicals An...
1114,Kalpataru Group
1115,Flash Electronic...
1116,Crowne Plaza
1117,Schlumberger
1118,Bharti Infratel
1119,Velocis Systems
1120,Cult.fit
1121,Reliance Power
1122,Volvo
1123,T-SYSTEMS ICT IN...
1124,Royal Sundaram G...
1125,Arohan Financial...
1126,Pacific BPO
1127,Lumen Technologi...
1128,Collins Aerospa...
1129,Magna Infotech
1130,Trimax IT Infras...
1131,Aditya Birla Fin...
1132,Lowe's
1133,Hitachi Payment ...
1134,Ivrcl Infrastruc...
1135,Knight Frank
1136,Shilpa Medicare
1137,Tanishq
1138,Investors Clinic
1139,bnp paribas indi...
1140,Asirvad Microfin...
1141,Nityo Infotech
1142,Netscribes
1143,ValueMomentum
1144,Pristyn Care
1145,H.G. Infra Engin...
1146,Westside
1147,NetCracker
1148,Transsion
1149,Samsung Research
1150,Signify
1151,NBC Bearings
1152,Hitachi Systems ...
1153,IMPACT Infotech
1154,Electrosteel Ste...
1155,Tata Consumer Pr...
1156,Zoho
1157,ACTE
1158,First Advantage
1159,Kutumbh Care
1160,Redington
1161,Acuity Knowledge...
1162,Denave
1163,SBFC Finance
1164,Lumina Datamatic...
1165,Capri Global Cap...
1166,Jaya Hind Indust...
1167,Chennai Radha En...
1168,GE Healthcare
1169,Caparo Engineeri...
1170,Stanza Living
1171,Rallis India
1172,Apollo Munich He...
1173,EMERSON PROCESS ...
1174,Allianz
1175,Ingram Micro
1176,Primus Global Te...
1177,Advik Hi Tech
1178,AuthBridge Resea...
1179,Ukb Electronics
1180,Quest Retail
1181,CNH Industrial
1182,RAMTeCH Software...
1183,Eris Lifescience...
1184,Zydus Wellness
1185,Xebia
1186,Ebix Software In...
1187,NoBrokerHOOD
1188,Jain Irrigation ...
1189,Bitwise Solution...
1190,Deepak Fertilis...
1191,AVEVA
1192,CreditAccess Gra...
1193,Finolex Cables
1194,Svatantra Microf...
1195,Engineers India
1196,City Union Bank
1197,HSBC Bank
1198,Rebel Foods
1199,Innodata Isogen
1200,Rodic Consultant...
1201,Sharda Motor Ind...
1202,McDermott Intern...
1203,Royal Caribbean ...
1204,IFFCO
1205,Gayatri Projects
1206,TCNS Clothing Co...
1207,Neeyamo Enterpri...
1208,Amphenol Interco...
1209,Edubridge Learni...
1210,HomeLane
1211,United Spirits
1212,GSK Pharmaceutic...
1213,Sintex Industrie...
1214,Anchor Electrica...
1215,Bses Rajdhani Po...
1216,Country Holidays...
1217,Biba Apparels
1218,Lea Associates S...
1219,Power Grid Corpo...
1220,FIITJEE
1221,Sandhar Technolo...
1222,Sl Lumax
1223,Ihg Group
1224,Raychem RPG
1225,Indo Autotech
1226,Echobooom Manage...
1227,Globant
1228,Isuzu Motors
1229,Isuzu Motors
1230,Dunzo
1231,Wipro Infrastruc...
1232,Vakrangee
1233,HCL Comnet
1234,Dhani Loans and ...
1235,Salesforce
1236,Muthoot Microfin
1237,TÜV NORD
1238,OMICS Internatio...
1239,Government of In...
1240,Rico Auto Indust...
1241,Adani Enterprise...
1242,Pratap Technocra...
1243,Skipper
1244,VA Tech Wabag
1245,ANZ Banking Grou...
1246,Ameriprise Finan...
1247,TDK India
1248,Progressive Info...
1249,Sadbhav Engineer...
1250,Omaxe
1251,Ups Logistics
1252,Amway India Ente...
1253,Ramco Systems
1254,Bioclinica
1255,PUMA
1256,Rentokil Pest Co...
1257,Union Bank of In...
1258,Future Lifestyle...
1259,Guardian India
1260,Jabil Circuit In...
1261,Epicenter Techno...
1262,Ashirvad Pipes
1263,Integreon
1264,Adani Solar
1265,Thriveni Earthmo...
1266,Ag Industries
1267,Silaris Informat...
1268,Rohan Builders
1269,ZUVENTUS HEALTHC...
1270,Target
1271,Quatrro
1272,Astral Pipe
1273,GKN
1274,Mott MacDonald
1275,Linde India
1276,Tata Hitachi Con...
1277,NSB Bpo Solution...
1278,Bluestream Softw...
1279,Times Internet
1280,Somany Ceramics
1281,MattsenKumar
1282,Merino Industrie...
1283,Piramal Pharma
1284,General Motors
1285,Citco
1286,Fractal Analytic...
1287,CMS Computers Li...
1288,India Japan Ligh...
1289,Alshaya Group
1290,Shaktiman Tirth ...
1291,Simplilearn
1292,Diebold Nixdorf
1293,Xceedance
1294,Sagility
1295,Fleetguard Filte...
1296,India Cements
1297,Accolite Digital
1298,Epsilon
1299,Educomp Solution...
1300,Jio Platforms
1301,Vijaya Diagnosti...
1302,Uttam Galva Stee...
1303,Central Industri...
1304,T.v. Sundram Iye...
1305,SoftAge Informat...
1306,Quikr
1307,Deepak Nitrite
1308,Bikanervala
1309,Saud Bahwan Grou...
1310,Csc E Governance...
1311,Creambell
1312,LifeCell Interna...
1313,H&M
1314,BASF
